episode,phase,starting_stones,steps,avg_return,ema_return,win_rate,draw_rate,policy_loss,value_loss,entropy,kl_div,clip_frac,grad_norm,lr,cycle_step,last_reset_event,minimax_depth_beaten,clone_gen,active_mm_max_depth,shaping_mult,wr_vs_mm_d1,wr_vs_mm_d2,wr_vs_mm_d3,wr_vs_mm_d4,wr_vs_mm_d5,wr_vs_mm_d6,wr_vs_mm_d7,wr_vs_random,wr_vs_self,slope_angle_d1,slope_angle_d2,slope_angle_d3,slope_angle_d4,slope_angle_d5,slope_angle_d6,slope_angle_d7,samples_in_window_d1,samples_in_window_d2,samples_in_window_d3,samples_in_window_d4,samples_in_window_d5,samples_in_window_d6,samples_in_window_d7,eps_per_sec
32772,1,-1,1777792,0.230502461450832,0.230502461450832,0.56025,0.2325,0.008203564326755614,0.30226350717601325,2.485224526552927,2.1395266544675992e-07,0.0,0.0890970304608345,1.967213114754098e-06,0,none,0,0,1,0.997269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.428,nan,nan,nan,nan,nan,nan,nan,1,0,0,0,0,0,0,197.18094091103248
57353,1,-1,3129611,0.14566743968428333,0.22626071036250456,0.54675,0.2365,0.009774208247628329,0.29017821451028186,2.5010571891353246,3.7723769301984636e-07,0.0,0.04372940957546234,3.4426229508196716e-06,0,none,0,0,1,0.9952205833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.442,nan,nan,nan,nan,nan,nan,nan,2,0,0,0,0,0,0,202.837763406014
81931,1,-1,4481568,0.16886718750000002,0.22339103421937934,0.547,0.246,0.008095791581735918,0.29135960376623904,2.491128999536688,1.3447357497914875e-06,0.0,0.04377380758523941,4.9180327868852455e-06,0,none,2,0,1,0.9931724166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.45,nan,nan,nan,nan,nan,nan,nan,3,0,0,0,0,0,0,204.59876769336253
106514,1,-1,5840763,0.21174213759713575,0.22280858938826714,0.5515,0.238,0.007464249268412546,0.28697576923739343,2.4825779483431862,7.674738231430855e-06,0.0,0.044739119708538055,6.3934426229508185e-06,0,none,0,0,1,0.9911238333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.448,nan,nan,nan,nan,nan,nan,nan,4,0,0,0,0,0,0,203.88026088097308
131096,1,-1,7194448,0.19020299406069485,0.2211783096218885,0.55075,0.2515,0.0073548563966704976,0.2814123765343711,2.491997656368074,1.058659121543401e-05,0.0,0.07568445056676865,7.868852459016392e-06,0,none,1,0,1,0.9890753333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.444,nan,nan,nan,nan,nan,nan,nan,5,0,0,0,0,0,0,204.60798676299524
155680,1,-1,8541004,0.2498640950520833,0.2226125988933982,0.55325,0.2125,0.005772708567339137,0.2701075624335896,2.498086266084151,6.282157180866113e-05,0.0,0.31196874380111694,9.344262295081966e-06,0,none,0,0,1,0.9870266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.464,nan,nan,nan,nan,nan,nan,nan,6,0,0,0,0,0,0,204.77480249674565
180258,1,-1,9870980,0.328162069807176,0.22789007243908707,0.58075,0.2095,0.0001686514243138609,0.25574649346095546,2.4875203753695074,0.001047525214182966,0.01921778054976905,0.1867133527994156,1.081967213114754e-05,0,none,2,0,1,0.9849785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.48,nan,nan,nan,nan,nan,nan,nan,7,0,0,0,0,0,0,205.62488099100392
204841,1,-1,11119710,0.6952798795866894,0.25125956279646716,0.6345,0.168,-0.004513220620186379,0.2541541560490926,2.4523752609888714,0.0019081087522742261,0.04180035427212715,0.3440783619880676,1.2295081967213112e-05,0,none,0,0,1,0.9829299166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.546,nan,nan,nan,nan,nan,nan,nan,8,0,0,0,0,0,0,207.1656751811235
229426,1,-1,12207304,1.0989593753812368,0.2936445534257056,0.67825,0.1005,-0.007762165950788628,0.25808230645599817,2.4138006672026617,0.002119543264150649,0.04764229008957507,0.22355462610721588,1.3770491803278686e-05,0,none,0,0,1,0.9808811666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.644,nan,nan,nan,nan,nan,nan,nan,9,0,0,0,0,0,0,211.84615088964537
254009,1,-1,13157410,1.3155121633715727,0.34473793392299895,0.7085,0.061,-0.008040696378437835,0.25887963384912727,2.383287463271827,0.0017347894116251713,0.03327506221830845,0.918744683265686,1.524590163934426e-05,0,none,0,0,1,0.9788325833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,0.7,0.0,nan,nan,nan,nan,nan,nan,10,0,0,0,0,0,0,217.84945881458842
278595,1,-1,13996977,1.5161650801399396,0.40330929123384596,0.74475,0.0565,-0.006284457759583613,0.2607282640958073,2.372377270399922,0.0012311820386035246,0.01778460004263454,0.28482505679130554,1.6721311475409834e-05,0,none,2,0,1,0.97678375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686,0.692,0.0,nan,nan,nan,nan,nan,nan,11,0,0,0,0,0,0,224.74600893931796
303180,1,-1,14764418,1.5813957367179234,0.4622136135080498,0.75975,0.0475,-0.007059571505974858,0.26982496278260343,2.36063898763349,0.0011421464390173974,0.013812341517017733,0.6341953277587891,1.819672131147541e-05,0,none,0,0,1,0.974735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.752,0.0,nan,nan,nan,nan,nan,nan,12,0,0,0,0,0,0,231.66261648782594
327767,1,-1,15484275,1.6504779336994102,0.5216268295176179,0.76975,0.0505,-0.006857350587727095,0.2722612499505624,2.322363053245106,0.0010749589130463046,0.014946935826848293,0.38907667994499207,1.9672131147540982e-05,0,none,0,0,1,0.9726860833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.756,0.0,nan,nan,nan,nan,nan,nan,13,0,0,0,0,0,0,238.93309080526586
